Sample_ID,Depth(m),Age(Ma),Sz,Sz_std,Xlf,d13Cc,d18Oc,d13Co,R,R_std,CO2_ice,aFe,aSi,aAl,fFe,aFe_std,aSi_std,aAl_std,fFe_std,aFe/aSi,aFe/aAl,aSi/aAl,aFe/fFe,aSi/fFe,aAl/fFe,aFe/aSi_std,aFe/aAl_std,aSi/aAl_std,aFe/fFe_std,aSi/fFe_std,aAl/fFe_std,CO2,CO2_std,D,D_std
ZJC_375,3.75,0.0276,447.9047843,68.96460104,49.36585366,-6.510329712,-9.79276879,-22.422,0.433113592,0.066687178,193.99365,0.11725125,0.08737,0.11486125,1.089,0.01057655,0.019791919,0.011509931,0.001414214,1.408879705,1.029669382,0.765924548,0.107590367,0.080458495,0.105624008,0.409907334,0.1387548,0.195261157,0.009950942,0.017786791,0.010471782,191.7849024,0.671621277,26.07533333,0.289734936
ZJC_1850,18.5,0.15889474,353.817905,46.23527494,33.92494929,-6.218164218,-9.525149655,-22.981,0.55763252,0.072868819,197.30037,0.0913475,0.08009,0.0965,0.949,0.000922774,0.000127279,0.00212132,0.029698485,1.140700413,0.947656416,0.830476491,0.096404667,0.084353186,0.101725977,0.011837578,0.022337543,0.017523175,0.003341263,0.00266474,0.003782463,188.0261849,2.733586202,28.48933333,0.031754265
ZJC_2100,21,0.17494737,426.2277566,61.50541601,62.6933576,-6.731650752,-10.8764801,-22.884,0.459093142,0.066247949,195.67824,0.12374125,0.09209625,0.12418125,1.095,0.008274917,0.00733093,0.003084753,0.035355339,1.353036924,0.993670557,0.74302543,0.113194234,0.084246657,0.11350939,0.139951884,0.06944442,0.059887865,0.008247231,0.007111222,0.00462823,197.9660803,2.685179438,22.27633333,0.044060564
ZJC_2800,28,0.25176923,392.347191,43.82934939,46.65444546,-7.190053495,-9.839072764,-24.566,0.544980173,0.060880075,213.82144,0.11183375,0.10197,0.115495,1.065,0.001168494,0.016426091,0.010613673,0.007071068,1.128174574,0.978637531,0.898641309,0.105073437,0.096162417,0.108309458,0.202767877,0.093626872,0.166739518,0.001279031,0.015674719,0.010014993,209.3644544,2.49373212,23.85466667,0.129307128
ZJC_4200,42,0.433,282.6856351,29.20971305,38.3,-6.355544995,-9.573008903,-24.399,0.739132181,0.076374022,208.94205,0.11679125,0.09211375,0.10939625,1.044,0.005464168,0.013705497,0.010753326,0.022627417,1.286046374,1.081152209,0.850038795,0.11192095,0.087899144,0.104983476,0.218358594,0.119160323,0.149517554,0.005802574,0.012828841,0.010768919,222.0308076,2.136024159,24.82333333,0.116070381
ZJC_5600,56,0.643,249.4310735,25.97406814,28.55769231,-6.036485045,-9.28058936,-24.294,0.763132425,0.079467459,190.34894,0.09420125,0.07776875,0.0903775,0.968,0.008069856,0.004216124,0.001032376,0.031112698,1.211330348,1.043951753,0.860393228,0.097912692,0.080406716,0.093502969,0.127326754,0.090807165,0.046805508,0.009111087,0.005159628,0.00330871,191.7915708,1.191086598,25.40666667,0.081026745
ZJC_5775,57.75,0.65583333,219.5416498,21.14394213,27.44897959,-5.859229518,-8.718167202,-24.888,0.877617209,0.084522857,192.67353,0.10279,0.08412875,0.09179125,1.1161,0.002665793,0.003049398,0.003494875,0.079337381,1.222103508,1.123288812,0.915973699,0.092616247,0.0757641,0.083252281,0.05604769,0.050878577,0.04754692,0.007098409,0.00627074,0.006979835,200.4606396,0.58474378,23.296,0.015716234
ZJC_5950,59.5,0.66866667,225.7831408,22.2513933,38.7,-6.227320633,-8.962183315,-24.715,0.768717936,0.075758735,173.56355,0.103165,0.0842325,0.103155,1.1003,0.009157033,0.000463155,0.001633417,0.099419213,1.22663129,0.996161487,0.816826528,0.094704312,0.076984021,0.09436418,0.106991994,0.090106148,0.013787787,0.012046683,0.006895724,0.008834356,179.1308952,0.548837696,26.873,0.087846457
ZJC_6850,68.5,0.796,261.606647,28.10742716,23.84210526,-6.239584413,-9.030495498,-24.13,0.731931326,0.078639846,191.4781,0.08684,0.0692575,0.08248125,0.9945,0.012218805,0.022553171,0.014875759,0.020506097,1.436530542,1.103934491,0.859349276,0.086775589,0.071483044,0.083328183,0.845261263,0.281640762,0.335114716,0.012468301,0.022784121,0.014720142,202.8242278,2.170103979,25.60833333,0.183350302
ZJC_1275,12.75,0.09722222,675.9549342,121.3611176,172.3313407,-6.496,-9.46,-21.876,0.338800604,0.060828345,229.01394,0.16944,0.116635,0.20563,1.4061,0.003266715,0.005159357,0.003539258,0.05238247,1.455882632,0.824193516,0.566476953,0.120818691,0.083226328,0.146476815,0.070521883,0.02014763,0.025662658,0.004899385,0.004592832,0.006131562,242.6422392,2.053586771,19.259,0.079265377
ZJC_1325,13.25,0.11033333,932.0145929,195.244371,173.4976888,-7.409,-9.315,-22.297,0.270085696,0.056579277,251.72381,0.16482,0.12153,0.21783,1.40656,0.003272267,0.005180601,0.003553639,0.061235447,1.358847074,0.756586898,0.55842167,0.117275168,0.086529946,0.155757289,0.064218286,0.018878886,0.025609178,0.005626384,0.005413243,0.007345988,245.0828221,2.260760112,18.51466667,0.124516398
ZJC_1350,13.5,0.11688889,1208.143128,296.6153417,170.9923664,-7.847,-9.15,-22.292,0.220483926,0.054131761,266.37614,0.15367,0.109575,0.20394,1.36113,0.003292681,0.005203541,0.003558252,0.106645845,1.406471417,0.75473648,0.537165088,0.113780863,0.08048571,0.151214089,0.074879662,0.020610358,0.027149581,0.009616361,0.007298635,0.012260971,274.0972346,2.596776274,19.29566667,0.119068608
ZJC_1375,13.75,0.12344444,980.8835689,217.4458234,139.1380827,-6.914,-9.321,-21.72,0.281364077,0.062373808,275.9854,0.14648,0.09719,0.19413,1.32405,0.003257598,0.005220228,0.003561052,0.052820877,1.513502787,0.754564753,0.500036975,0.110594795,0.073402883,0.14678548,0.090996081,0.021621691,0.027737752,0.004984467,0.004802773,0.006313892,275.6832538,6.474668867,20.492,0.160065612
ZJC_2450,24.5,0.21033333,544.2230643,85.94446234,130.106486,-5.485,-8.931,-21.464,0.457937556,0.072318135,249.22018,0.152415,0.10474,0.17785,1.26919,0.003252546,0.005204548,0.003566821,0.125935718,1.456076379,0.857643248,0.590163805,0.121061423,0.083599409,0.141109823,0.080294799,0.026315404,0.031886471,0.013114059,0.009596118,0.014727354,243.2507721,3.967623358,20.81966667,0.026950572
ZJC_2460,24.6,0.212266666,428.7205109,58.85005323,124.1584158,-5.148,-9.039,-21.985,0.582146372,0.079910674,249.57809,0.1392,0.10692,0.17327,1.23029,0.003213093,0.005187774,0.003562014,0.000410122,1.303364426,0.803576342,0.617878614,0.11316374,0.086668505,0.140998628,0.072407539,0.024053589,0.032582651,0.002586167,0.004275935,0.002885698,246.3890067,2.474067772,20.546,0.060621778
ZJC_2465,24.65,0.213233334,368.6075875,44.06176249,124.2718447,-5.283,-8.246,-22.809,0.65336718,0.078100697,240.8361,0.13133,0.10094,0.161425,1.13983,0.003162461,0.005136664,0.003543121,0.037009969,1.299929755,0.812244702,0.625887986,0.115426564,0.088494094,0.141654893,0.072447322,0.027721205,0.034628827,0.004744194,0.005239345,0.005698123,245.3528033,2.899699331,20.813,0.129104609
ZJC_2470,24.7,0.214200002,448.5873786,63.13348403,122.2330097,-5.096,-8.728,-21.663,0.552047342,0.077694277,247.64147,0.134385,0.099755,0.159305,1.28654,0.003105534,0.005099649,0.003523197,0.051929922,1.346067936,0.84319388,0.624142199,0.104693338,0.077459571,0.124199462,0.074195121,0.02723814,0.034334991,0.004814025,0.004961454,0.005465409,251.3914742,3.059058537,21.16366667,0.153121956
ZJC_2475,24.75,0.21516667,501.3210085,76.85948319,111.8541033,-5.054,-9.156,-21.156,0.496823444,0.076169944,249.06803,0.13044,0.0976,0.150025,1.27815,0.003037895,0.00502123,0.003470624,0.010903587,1.342773206,0.870327209,0.649367645,0.10206305,0.076514972,0.117424186,0.077858508,0.029180852,0.036676001,0.002465326,0.00396808,0.002961579,240.4984109,3.020223809,21.37233333,0.184402639
ZJC_2700,27,0.238,657.7091646,109.7010515,113.5775862,-6.708,-9.071,-22.347,0.365425165,0.06095023,240.34348,0.15612,0.14168,0.18137125,1.53524,0.006901362,0.015103801,0.003717614,0.035015928,1.110465793,0.862071307,0.781505894,0.1017469,0.092347336,0.117853775,0.128376088,0.042414413,0.087898072,0.005193281,0.009761022,0.003554673,241.7437862,2.860508234,20.34466667,0.056145644
ZJC_3290,32.9,0.328927274,440.3971275,56.7014937,129.2307692,-5.561,-8.26,-22.945,0.62211859,0.080098282,273.97924,0.15914625,0.121925,0.16135125,1.47311,0.000383605,0.013385531,0.000917471,0.015400786,1.316978171,0.986518181,0.75412043,0.10809024,0.083019873,0.109629711,0.154400962,0.006253499,0.083419573,0.001118771,0.009164947,0.001323391,270.5870272,2.776233897,25.841,0.11920151
ZJC_3300,33,0.33027273,580.6173324,105.4685794,123.8660338,-5.704,-8.528,-21.496,0.464675708,0.084407895,269.79877,0.1657025,0.10249625,0.15904875,1.5875524,0.004620943,0.009324971,0.007140011,0.040230982,1.627342729,1.046005211,0.648005847,0.104579734,0.064598943,0.100052694,0.160624872,0.054649896,0.064667132,0.00400911,0.006035914,0.005129554,274.0475723,3.425542209,24.19433333,0.018147543
ZJC_4025,40.25,0.409,715.2383593,106.457195,149.8046875,-7.052,-8.838,-23.192,0.390769883,0.0581628,279.49361,0.19108875,0.1170575,0.16805875,1.5993772,0.000751301,0.008962578,0.002911512,0.040478752,1.641229492,1.137508429,0.696293748,0.119571983,0.073338185,0.105145518,0.126941933,0.020039965,0.054027244,0.003109876,0.005738144,0.003259293,281.7090986,2.557822614,21.43833333,0.108969415
ZJC_4850,48.5,0.533,437.6000366,65.83961164,96.6223132,-6.491,-9.221,-22.645,0.455866758,0.068587952,199.48731,0.11297125,0.09610875,0.12722375,1.40038,0.005068188,0.016519782,0.002511997,0.002291026,1.228406503,0.887482846,0.758247386,0.080814112,0.068365591,0.090882665,0.254492986,0.043623594,0.124826736,0.003589739,0.011962957,0.001750609,211.2879422,2.23263594,17.60266667,0.124857252
ZJC_4855,48.55,0.5342,355.4641142,44.25873951,92.16981132,-6.438,-8.456,-23.615,0.57158158,0.071167466,203.17674,0.12018625,0.100125,0.13135375,1.40614,0.007921364,0.004391133,0.008985559,0.090707658,1.20210627,0.926586395,0.763335489,0.085776784,0.071659614,0.093799157,0.093474297,0.091038705,0.06133876,0.008081961,0.005692162,0.00900111,197.600325,0.846661475,18.63066667,0.191677681
ZJC_4860,48.6,0.5354,385.1763589,50.8406568,116.6336634,-6.569,-8.443,-23.491,0.534289567,0.070522585,205.79571,0.1356825,0.107705,0.1442725,1.49635,0.012766813,0.006081118,0.015941722,0.019304015,1.262304977,0.952866911,0.758753163,0.090761245,0.072054851,0.0965199,0.141398435,0.148679925,0.096519734,0.008376193,0.004235633,0.010313175,190.5193878,1.318996201,18.12833333,0.032036438
ZJC_6125,61.25,0.6976,397.6996989,52.48892916,106.7297581,-4.549,-9.511,-21.356,0.585491341,0.077273917,232.84973,0.16627375,0.1237575,0.16657375,1.70319,0.003420629,0.012095061,0.002225619,0.052057201,1.359397775,1.000425356,0.745348274,0.097694374,0.072962626,0.097746449,0.141525055,0.023651733,0.074561213,0.003691199,0.00753946,0.003118778,239.0300408,1.165916855,17.571,0.120859422
